judul_proposal,deskripsi
Mahasiswa mampu menjelaskan prinsip dan tujuan dari Visualisasi. Mahasiswa memiliki pemahaman terhadap aspek persepsi visual pada manusia dan wawasan tentang representasi objek visual. Mahasiswa memiliki pemahaman terhadap karakteristik data dan mampu membuat pemetaan dari ranah data ke representasi visual. Mahasiswa memiliki wawasan terhadap teknik-teknik visualisasi serta mengevaluasi teknik-teknik tersebut sesuai dengan kebutuhan dan batasan. Mahasiswa mampu menerapkan pengetahuan dan memanfaatkan kakas yang ada untuk merancang dan membangun visualisasi terhadap data dari suatu kasus ,graphics and visualization
Memahami konsep grafik 3D dan model objek pada ruang 3D Mampu mengembangkan aplikasi yang mengelola dan mengolah data dalam bentuk objek 3 dimensi,graphics and visualization
"Himpunan, relasi dan fungsi, teknik pembuktian, teori bilangan, kombinatorial, graf, pohon, dan kompleksitas algoritma.",dasar matematika
"Materi yang diberikan pada kuliah ini mencakup pengantar computational logic, representasi propositional logic mencakup sintaks dan semantic, representasi relational logic mencakup sintaks dan semantic, berbagai teknik pembuktian dari pendekatan semantic reasoning maupun proof method untuk propositional logic dan relational logic, serta paradigm pemrograman deklaratif yang menggunakan dasar relational logic untuk melakukan penalaran.",dasar matematika
"Kuliah ini mendeskripsikan materi tentang probability, variabel random, teori bayes, distribusi peluang dari variabel random, ekspektasi matematika dari suatu kejadian, distribusi sampel, estimasi parameter populasi & hipotesisnya, pengenalan regresi linear dan pemanfaatannya untuk melalukan prediksi.",dasar matematika
"Aljabar elementer, aljabar bilangan kompleks, aljabar vektor, aljabar quaternion, matriks dan transformasi linier, aljabar matriks, sistem persamaan linier, aljabar geometri, pencerminan dan rotasi, aljabar geometri untuk geometri, geometri konformal",dasar matematika
"Pengantar kriptografi, Serangan (attack) pada kriptografi, Landasan matematika untuk kriptografi, Algoritma kriptografi klasik (Caesar cipher, Vigenere, Playfair, dll), Kriptanalisis dengan teknik analisis frekuensi, Algoritma kriptografi modern, Stream cipher dan block cipher, Beberapa algoritma cipher blok (DES, TDES, GOST, RC5, AES), Beberapa algoritma stream blok (RC4, A5), Kriptografi kunci publik, Algoritma-algoritma kriptografi kunci-publik (RSA, ElGamal, Diffie-Hellman, Knapsack), Pembangkit bilangan acak, Fungsi hash dan MAC, Tanda-tangan digital (digital signature), Protokol kriptografi, Public Key Infrastructure (PKI), Manajemen kunci, Kriptografi dalam kehidupan sehari-hari, Steganografi dan watermarking, Kriptografi visual.",dasar matematika
"Konsep model dan simulasi, jenis-jenis simulasi meliputi simulasi kejadian diskrit dan simulasi kejadian kontinu, tinjauan probabilitas dan statistik, pembangkit bilangan random dan variabel random, penggunaan simulasi antrian seperti pada sistem operasi komputer, pemodelan dengan bahasa simulasi CSMP, GPSS dan Dynamo",dasar matematika
"Untuk tahun pertama, dua topik yang diberikan adalah metode numerik dan logika fuzzy. Metode Numerik: Pengantar Metode Numerik, Deret Taylor dan Analisis Galat, Solusi Persamaan Nirlanjar, Bahasa FORTRAN dan compiler-nya (GNU FORTRAN 77), Solusi Sistem Persamaan Lanjar, Interpolasi polinom, Regresi, Integrasi numerik, Turunan numerik. Logika Fuzzy: Pengantar Logika Fuzzy, Himpunan Fuzzy, Relasi Fuzzy, Aturan Logika Fuzzy, Sistem Inferensi Fuzzy, Fuzzy dengan MATLAB.",dasar matematika
"Sistem temu-balik informasi, model ruang vector, model probabilistic, umpan-balik, perluasan query, thesaurus, evaluasi unjuk kerja system, mesin pencarian",dasar matematika
Students are able to understand basic concepts of discrete mathematics so that they can model the real world problems using the concepts. This course give basic concepts and terminologies for understanding other advanced courses in Informatics.,dasar matematika
"Mahasiswa mampu memahami bahwa logika adalah salah satu representasi pengetahuan untuk menyelesaikan persoalan berbasis komputer, Mahasiswa mampu memformulasikan suatu persoalan ke dalam representasi logika (proposisi atau relasional), dan menyelesaikannya dengan proses penalaran berbasis semantic atau dengan metode pembuktian, Mahasiswa mampu membangun aplikasi penalaran sederhana dengan paradigm pemrograman deklaratif",dasar matematika
"Mahasiswa memahami dan dapat menyelesaikan persoalan distribusi peluang variabel random dan diskrit, dan mahasiswa mampu menyelesaikan persoalan untuk menarik kesimpulan mengenai parameter populasi yang diperoleh dari data hasil eksperimen",dasar matematika
"Mahasiswa mampu memahami berbagai teori aljabar termasuk di dalamnya aljabar geometri, Mahasiswa mampu menyelesaikan masalah geometri secara aljabar ",dasar matematika
"Mahasiswa diharapkan mampu: 1. Memilih teknik yang sesuai untuk mengamankan pesan, baik pesan yang dikirim maupun pesan tersimpan (arsip). 2. Membuat program aplikasi untuk tujuan keamanan pesan. ",dasar matematika
"Pada kuliah ini, akan diberikan pemahaman teori dan praktis mekanisme simulasi kejadian diskrit dan kontinu serta analisis hasil simulasi.",dasar matematika
1. Mahasiswa mengenal dan memahami topik-topik lanjutan dalam bidang Ilmu dan Rekayasa Komputasi. 2. Mahasiswa mampu menyelesaikan persoalan terkait topik yang dibahas. 3. Mahasiswa mampu membuat program aplikasi untuk menyelesaikan persoalan terkait topik yang dibahas dengan menggunakan bahasa dna kakas yang spesifik. 4. Mahasiswa mampu membuat sebuah makalah yang membahas topik yang dipilih. ,dasar matematika
"Pada kuliah ini, akan diberikan Teknik-teknik dan metode yang ada pada sistem temu-balik informasi.",dasar matematika
"Konsep fundamental pemrograman: abstraksi, dekomposisi problem, modularisasi, berpikir rekursif dan prosedural Tools dan term pemrograman: bahasa pemrograman, IDE, compiler, interpreter, source code, machine code, eksekusi program, algoritma, dll Pemrograman (aspek koding) dengan paradigma pemrograman fungsional dan prosedural, dengan beberapa bahasa yang dipilih untuk skala kecil dan persoalan umum. Gambaran besar dunia pemrograman dalam bidang computing, yang menantang dan menumbuhkan minat (the beauty and joy of computer programming)",algoritma dan pemrograman
"Konsep dasar struktur data dalam pemrograman prosedural: Program = algoritma + struktur data; modularisasi program; scope dan life time variabel; Mesin abstrak, dan tipe data abstrak : dasar, tabel, matriks, stack, queue, list, binary tree; konsep, primitif, operasi, dan pemakaian library. ADT dengan berbagai variasi representasi. Algoritma yang relevan dengan masing-masing struktur data: sequential processing (traversal, searching), sorting, insert, update delete, reverse Pemrograman prosedural dengan bahasa C & studi kasus",algoritma dan pemrograman
"Konsep dan praktek pengembangan program aplikasi dan komponen perangkat lunak dengan OOP menggunakan fitur lanjut OOP, dan praktek menggunakan tiga bahasa pemrograman (C++, Java, C#) Paradigma berorientasi objek: kelas, objek, masa hidup objek, operasi-dasar objek, generik, inheritance dan polymorphism, exception and assertion Konsep dan implementasi tipe data abstrak(ADT), mesin abstrak, dan proses in OOP Pemrograman OO dengan 3 bahasa yang dipilih (C++, Java, C#)",algoritma dan pemrograman
"Algorithm complexity, Brute Force Algorithms, Greedy Algorithms, Divide and Conquer Algorithms, DFS, BFS, Backtracking Algorithms, Branch and Bound Algorithms, Dynamic Programming String Matching, NP Theory",algoritma dan pemrograman
"Kuliah ini berfokus pada desain dan pengembangan aplikasi yang berada pada sebuah platofrm kusus dimana terdapat sejumlah batasan tambahan (diluar batasan umum yang ada pada komputer pada umumnya) yang harus diperhatikan. Pada perkuliahan ini mahasiswa akan belajar membuat abstraksi dari sebuah aplikasi dan bagaiman mengkontekstualkan desain tersebut dan mengimplementasikannya pada sebuah platform khusus. Kuliah ini menitikberatkan pada tiga platform: industrial, game, and mobile. Kuliah ini juga membahas bagaimana melakukan debugging, pengukuran-peningkatan kinerja , dan proses re-engineering untuk portability dari sebuah aplikasi.",algoritma dan pemrograman
"Perkulihan ini membrikan pengantar dasar perihal Internet dan Aplikasi berbasis Internet. Pada kuliah ini mahasiswa mempelajari sejumlah teknologi (contoh: HTML 5, CSS, Java Script, JAVA, PHP) dan teknik (AJAX, Offline-storage) untuk membangun aplikasi berbasis internet. Mahasiswa juga diajarkan untuk memahami karakteristik setiap teknologi dan trade-off-nya. Mahasiswa juga diajarkan untuk menganalisis berbagai aspek kualitas pada aplikasi internet, seperti: usability, security, dan performance. Kuliah ini juga mencakup ilmu bagaimana merancang sebuah protokol (pada Application Layer) yang menggunakan Internet.",algoritma dan pemrograman
"Mahasiswa mengenal dan memahami semua pemikiran, istilah, tools yang dipakai dalam menyelesaikan persoalan melalui pembuatan progam, Mahasiswa mengenal kelas-kelas persoalan dan kelas-kelas programmer dan kelas-kelas program, Mahasiswa mengenal teknik-teknik yang dibutuhkan dalam memrogram dan mempraktekkan dengan skala kecil, Mahasiswa mampu mengkode program sederhana berskala kecil dan persoalan umum, Mahasiswa menjadi tertantang dan berminat untuk mempelajari pemrograman secara lebih mendalam pada tahap berikutnya",algoritma dan pemrograman
"Mahasiswa mengenalan dan memahami konsep dan dasar struktur data, Mahasiswa mampu untuk memakai paket struktur data yang tersedia, Mahasiswa mambu mendesain dan mengimplementai paket struktur data, Mahasiswa mampu melakukan problem solving (dengan pemrograman prosedural, berbahasa C, skala menengah), menggunakan struktur data, baik menggunakan API/library yang tersedia ataupun dengan membangun sendiri library (from, the scratch), Mahasiswa siap untuk mempelajari pemrograman berorientasi objek (OOP)",algoritma dan pemrograman
"Students understand the concepts of OOP paradigm such as class, object, encapulation, message passing, object life time, basic objectoperation, inheritace & polymorphism, genericity, and the concepts of abtsract data type , engine and process and tehir implementation in OOP. Students able to develop medium-scale programs using OOP paradigm using three OOP languages , i.e. C++, Java, C# ",algoritma dan pemrograman
"understands typical layered structure of computer network architecture, understands the basic principles of medium access layer, understands the principles of switched networks and reliable message delivery, understands the principles of routing and packet forwarding in IP networks, be able to configure LAN and IP networks, be able to implement networked application/simple client-server applications",algoritma dan pemrograman
"Mahasiswa memahami prinsip dasar bagaimana Internet dan Aplikasi Internet berkerja. Mahasiswa dapat membangun sebuah aplikasi web dengan memanfaatkan sejumlah teknologi, baik disisi server atau client. Mahasiswa dapat mendesain sebuah aplikasi internet dengan memperhatikan aspek kualitas (co: keamanan, kinerja, usability) ",algoritma dan pemrograman
Mahasiswa mampu mengkategorisasikan aplikasi berbasis intelligent system dan yang tidak. Mahasiswa mampu mendefinisikan teknik yang tepat untuk menyelesaikan persoalan dengan karakteristik tertentu. Mahasiswa mampu melakukan analisis terhadap teknik-teknik dalam intelligent system dan mengimplementasikan teknik terpilih pada suatu persoalan ,algoritma dan pemrograman
